iter	Logloss
0	0.6774298352
1	0.6630841436
2	0.6499094591
3	0.637439876
4	0.6253191526
5	0.6143712049
6	0.6038297531
7	0.5944200112
8	0.584947361
9	0.5770082153
10	0.5687093723
11	0.5608140087
12	0.5535202048
13	0.5473071621
14	0.5406817742
15	0.5346069779
16	0.5298933263
17	0.5239668112
18	0.5185595383
19	0.5136019745
20	0.508805319
21	0.5043199112
22	0.5007756313
23	0.496543368
24	0.4928037318
25	0.4890064376
26	0.4855355529
27	0.4821975664
28	0.4789851634
29	0.4762492991
30	0.4735818871
31	0.4706822783
32	0.4681209012
33	0.4657769878
34	0.4635789781
35	0.4614524217
36	0.4592493102
37	0.4571016557
38	0.4551020632
39	0.4531857107
40	0.4512643594
41	0.4494278464
42	0.447675292
43	0.4461435918
44	0.4446221917
45	0.4431566277
46	0.4416343765
47	0.4400823778
48	0.4386391166
49	0.4374939162
50	0.4361302639
51	0.4350364733
52	0.4340166347
53	0.4327538818
54	0.4316576115
55	0.4306042246
56	0.4295004778
57	0.4284061058
58	0.4274318792
59	0.4264485356
60	0.4255148478
61	0.4246543783
62	0.4238835998
63	0.4231636778
64	0.4223015036
65	0.4215419319
66	0.4206858513
67	0.420019613
68	0.4191973368
69	0.4184730882
70	0.4177823806
71	0.417146384
72	0.4166561012
73	0.4160478797
74	0.4154942045
75	0.4148349838
76	0.4143395652
77	0.4141523589
78	0.4136626367
79	0.4131452204
80	0.4126912962
81	0.4122775086
82	0.411858569
83	0.4112921836
84	0.4108580803
85	0.4104803487
86	0.4099947211
87	0.4096256584
88	0.4092557193
89	0.4087840876
90	0.408380921
91	0.4079178106
92	0.40760216
93	0.4072432032
94	0.4068074671
95	0.40645009
96	0.4060557023
97	0.405626261
98	0.4052870382
99	0.4049482146
100	0.4046226599
101	0.4042852875
102	0.4039214125
103	0.403558657
104	0.4032403849
105	0.4028689356
106	0.4025947228
107	0.402258249
108	0.4018883755
109	0.4016369016
110	0.4012660194
111	0.4009808008
112	0.4006944951
113	0.4003787272
114	0.400360806
115	0.4000628922
116	0.3998349479
117	0.3994790266
118	0.399151493
119	0.3989175096
120	0.3985504501
121	0.3982991651
122	0.3980309207
123	0.3977757357
124	0.397537522
125	0.3972151418
126	0.3969471296
127	0.3966650582
128	0.3964196042
129	0.3961792361
130	0.395985398
131	0.3957525041
132	0.3955607232
133	0.3954074682
134	0.3950925128
135	0.3948400993
136	0.3946699306
137	0.3944986635
138	0.3943202284
139	0.3940750894
140	0.3938187564
141	0.393530741
142	0.3933075785
143	0.3931671112
144	0.3929079215
145	0.392706175
146	0.3925227075
147	0.3922473721
148	0.3920621696
149	0.3918629563
150	0.391717383
151	0.3915200531
152	0.3913216459
153	0.3911448266
154	0.3908435127
155	0.3906597703
156	0.3905045683
157	0.3903006424
158	0.3900727356
159	0.3899056217
160	0.3897949513
161	0.3895922588
162	0.3894666427
163	0.389279489
164	0.3890707848
165	0.3888395083
166	0.388756955
167	0.3884848378
168	0.3882993622
169	0.3881010388
170	0.3879947939
171	0.3879864528
172	0.3878534994
173	0.3877329211
174	0.3876250941
175	0.3874302353
176	0.3872186574
177	0.3869900844
178	0.3868040142
179	0.3866492382
180	0.3864897802
181	0.386481276
182	0.3863475889
183	0.3861297015
184	0.3858312617
185	0.3855480732
186	0.3853321862
187	0.3851047035
188	0.3849458375
189	0.3846899479
190	0.3845584771
191	0.3844887748
192	0.3844701985
193	0.3843521164
194	0.3842636455
195	0.3841240663
196	0.3840016416
197	0.3839174825
198	0.3837622305
199	0.3834833126
200	0.3833632042
201	0.3832865913
202	0.3831826836
203	0.3830239012
204	0.3829479223
205	0.3828116475
206	0.3827250433
207	0.3826475694
208	0.3825512768
209	0.3823774221
210	0.3822813192
211	0.382141396
212	0.3820277385
213	0.3818006751
214	0.3816277782
215	0.3814869389
216	0.3813418815
217	0.3811927559
218	0.3811092397
219	0.380985714
220	0.3808307948
221	0.3807259797
222	0.3805051319
223	0.3803509546
224	0.3802582068
225	0.3801139087
226	0.3799492013
227	0.37977211
228	0.3796185375
229	0.3794999387
230	0.379325362
231	0.3791691425
232	0.3789765558
233	0.3788166283
234	0.3787332924
235	0.3786168506
236	0.3784800015
237	0.3782930713
238	0.3781220883
239	0.3780516583
240	0.3779483402
241	0.377842732
242	0.3776847459
243	0.3775873248
244	0.3774645123
245	0.377348457
246	0.3771791891
247	0.3769750997
248	0.3768915981
249	0.3768412113
250	0.3767567538
251	0.376604114
252	0.3764643663
253	0.3763712321
254	0.3762247016
255	0.3760652477
256	0.3759243255
257	0.3757355134
258	0.3756430668
259	0.375491641
260	0.3752840033
261	0.3751272418
262	0.3749799523
263	0.3748999612
264	0.3747639848
265	0.3746196837
266	0.3744371645
267	0.3742863124
268	0.3742066931
269	0.3740811435
270	0.3739370029
271	0.3738221617
272	0.3736670118
273	0.3735576826
274	0.3734770433
275	0.3732382882
276	0.3731129053
277	0.3729598976
278	0.3728383802
279	0.3727394378
280	0.3726595743
281	0.3724664831
282	0.3724112448
283	0.3722152431
284	0.3721144285
285	0.3719557059
286	0.3718044421
287	0.3716488011
288	0.3715402177
289	0.3714613076
290	0.3713185555
291	0.3711353061
292	0.3710398296
293	0.3708824407
294	0.3706898626
295	0.3706050591
296	0.3704547036
297	0.3702992348
298	0.3701961085
299	0.3699935887
300	0.3699630343
301	0.3698733007
302	0.3697304711
303	0.3696509677
304	0.3694131585
305	0.3693886872
306	0.3693032719
307	0.3691654733
308	0.3690210318
309	0.3688972443
310	0.3687557143
311	0.3686796254
312	0.3685138595
313	0.3684553947
314	0.3683383822
315	0.3682603452
316	0.3680881323
317	0.3679561366
318	0.3678052183
319	0.3677334712
320	0.3675809207
321	0.3675316142
322	0.3673431912
323	0.3671843383
324	0.3670555055
325	0.3669631325
326	0.3668463445
327	0.3667844967
328	0.3666832407
329	0.3665983422
330	0.3664439768
331	0.3663742387
332	0.3662812684
333	0.3661472567
334	0.3660544696
335	0.3659733918
336	0.3658924102
337	0.3657345017
338	0.3656504095
339	0.3654627912
340	0.3653650034
341	0.3652261553
342	0.3650710546
343	0.3649322947
344	0.364847145
345	0.3646989162
346	0.3646331041
347	0.3644403866
348	0.3643935885
349	0.3642892713
350	0.3642239557
351	0.3641006603
352	0.364012694
353	0.3638370813
354	0.363698619
355	0.363596277
356	0.3634002637
357	0.3632841519
358	0.3631002959
359	0.3629834294
360	0.3629031058
361	0.3627462687
362	0.3626276068
363	0.3624315987
364	0.3622713016
365	0.3621996571
366	0.3621438638
367	0.3619825222
368	0.361849006
369	0.361777261
370	0.3616077271
371	0.3615693239
372	0.3614843104
373	0.3614183611
374	0.3613001348
375	0.3611938208
376	0.3610560605
377	0.3609028636
378	0.3607773834
379	0.3606550012
380	0.3604963561
381	0.3603429817
382	0.3602686882
383	0.3601438998
384	0.3600590708
385	0.3600000051
386	0.3598525118
387	0.3596670659
388	0.3595127421
389	0.3593561987
390	0.3591808335
391	0.3590680775
392	0.3589532198
393	0.3588532596
394	0.358766264
395	0.3587078015
396	0.358556714
397	0.3583602809
398	0.3582634673
399	0.358151695
400	0.3580644756
401	0.3578339421
402	0.3576850692
403	0.3575570082
404	0.3574504272
405	0.3573110828
406	0.3571831174
407	0.3569979418
408	0.3568870626
409	0.3567883398
410	0.3566264527
411	0.3564627933
412	0.356294153
413	0.356217082
414	0.3560766105
415	0.3559097456
416	0.3558079447
417	0.3557436652
418	0.3556461201
419	0.3555849765
420	0.3554739468
421	0.3553510939
422	0.3552153792
423	0.3550423398
424	0.3549078927
425	0.3548588722
426	0.3547425394
427	0.3546149801
428	0.3544778662
429	0.3543720989
430	0.354292813
431	0.3541902091
432	0.3540597887
433	0.3538875478
434	0.3537825245
435	0.3536371835
436	0.35352247
437	0.3534611797
438	0.3533299191
439	0.3532563327
440	0.3531247798
441	0.35297797
442	0.3528864784
443	0.3528042493
444	0.3527178125
445	0.3526005356
446	0.3524895731
447	0.3524045895
448	0.3523102699
449	0.3522156759
450	0.3520773856
451	0.3519809637
452	0.351852544
453	0.3517707734
454	0.3516907019
455	0.3515917704
456	0.3514949864
457	0.3513610669
458	0.3512537372
459	0.3511454038
460	0.3510766948
461	0.3510014138
462	0.3508927033
463	0.3508102815
464	0.3507130223
465	0.3506064442
466	0.350490392
467	0.3504159125
468	0.3503381782
469	0.3502191192
470	0.3501009226
471	0.3499704824
472	0.3499182079
473	0.3498362159
474	0.3497624823
475	0.3496502634
476	0.3495289776
477	0.3494207824
478	0.3493255557
479	0.3492174484
480	0.349109601
481	0.348994741
482	0.3489277322
483	0.3488485873
484	0.3486576014
485	0.3485626762
486	0.3485035645
487	0.3484469493
488	0.3483280897
489	0.3482199437
490	0.3481398887
491	0.3480472481
492	0.3479222922
493	0.3477908472
494	0.3476415076
495	0.3475728066
496	0.3475106539
497	0.3474610037
498	0.3473023192
499	0.3471285646
500	0.3470022406
501	0.3468911565
502	0.3467917564
503	0.3467304726
504	0.346638155
505	0.3465154543
506	0.3464488093
507	0.3463727866
508	0.3462848308
509	0.346227779
510	0.3461661158
511	0.3460829179
512	0.3459303275
513	0.3458341579
514	0.345692989
515	0.3455583945
516	0.345478817
517	0.3453381613
518	0.3452928554
519	0.3451835047
520	0.345075059
521	0.3449210539
522	0.3448436274
523	0.3447560893
524	0.3446788118
525	0.3446444611
526	0.3444974141
527	0.3444176449
528	0.3443538197
529	0.3442926668
530	0.3441642584
531	0.34404456
532	0.3439812815
533	0.3439062829
534	0.3438447921
535	0.3436978834
536	0.3436221031
537	0.343496717
538	0.3434216777
539	0.3433311409
540	0.3431905093
541	0.3431460214
542	0.3429564485
543	0.3428285599
544	0.3427430387
545	0.3426999858
546	0.3425676969
547	0.3425278749
548	0.3422982798
549	0.3421974684
550	0.3420675321
551	0.3419981822
552	0.3419080554
553	0.3418158758
554	0.3417523123
555	0.341653289
556	0.34157738
557	0.3414240638
558	0.341369364
559	0.3412562548
560	0.3411103229
561	0.3409979827
562	0.3409713566
563	0.3408646278
564	0.3407901677
565	0.3407556202
566	0.340655451
567	0.3405489011
568	0.3404436291
569	0.3402926885
570	0.3401803862
571	0.340058289
572	0.3399331034
573	0.3397794929
574	0.3396699213
575	0.3395836623
576	0.3395425559
577	0.3394620847
578	0.3393169715
579	0.3392026324
580	0.3391071356
581	0.3390680216
582	0.3390305866
583	0.3389213798
584	0.3387858805
585	0.3386822142
586	0.3385760894
587	0.3385026585
588	0.3383692506
589	0.3382512615
590	0.3381624773
591	0.3381209217
592	0.3380547108
593	0.337946114
594	0.3378443086
595	0.3377148069
596	0.3375767682
597	0.3374603778
598	0.3373514603
599	0.3372853551
600	0.3371615704
601	0.3370554845
602	0.3369612178
603	0.3369043844
604	0.336841092
605	0.3367472987
606	0.3365792607
607	0.3364606594
608	0.3363058432
609	0.3362178935
610	0.3361491055
611	0.3360473871
612	0.3359754918
613	0.3358831371
614	0.3357996302
615	0.3357118915
616	0.335643716
617	0.3354965414
618	0.3354156181
619	0.3353601699
620	0.3352505276
621	0.335194534
622	0.3351528252
623	0.3350313872
624	0.3349676338
625	0.3348422852
626	0.3347892035
627	0.3347035079
628	0.3346420549
629	0.3345524781
630	0.3345176179
631	0.3343598416
632	0.3342753122
633	0.3341555653
634	0.3340131185
635	0.3339701715
636	0.3338191648
637	0.3337678806
638	0.33369082
639	0.3335963934
640	0.3335113051
641	0.333415363
642	0.3332956379
643	0.3331835299
644	0.3330931832
645	0.3330319673
646	0.3329700138
647	0.3328495403
648	0.3327918579
649	0.3326801092
650	0.3325956037
651	0.3324711195
652	0.3323569932
653	0.3322687297
654	0.3321859605
655	0.3320610688
656	0.3319527778
657	0.3318972483
658	0.3318203846
659	0.3317700589
660	0.3317211086
661	0.3315792604
662	0.3315216689
663	0.3314716895
664	0.3314217135
665	0.3313019526
666	0.3312617169
667	0.3311501257
668	0.3310566795
669	0.3309454191
670	0.3308542044
671	0.3307669431
672	0.3305924207
673	0.3305349555
674	0.330412908
675	0.3303017968
676	0.3301473249
677	0.3300725217
678	0.330048349
679	0.3299924286
680	0.3299604599
681	0.3298938571
682	0.3298062525
683	0.3296842242
684	0.3295895394
685	0.3295133458
686	0.3294562712
687	0.3293741315
688	0.3292685357
689	0.3292303779
690	0.3290934925
691	0.3290247565
692	0.3289766199
693	0.3288902729
694	0.3288163025
695	0.3287103999
696	0.328652894
697	0.3284995666
698	0.3284465105
699	0.3283182407
700	0.3281852114
701	0.3281009704
702	0.3280406995
703	0.3279532892
704	0.327886061
705	0.3277770778
706	0.3277479367
707	0.3276194334
708	0.3275208285
709	0.3274625911
710	0.3274016468
711	0.3273337867
712	0.3272973652
713	0.3272211433
714	0.3271425626
715	0.3269965869
716	0.326857461
717	0.326794136
718	0.3266743205
719	0.326605618
720	0.3264897109
721	0.3264544189
722	0.326343689
723	0.3262549738
724	0.3261413617
725	0.3260811566
726	0.3259889484
727	0.3258738469
728	0.3257939004
729	0.3256891646
730	0.3256020959
731	0.3255009282
732	0.3254217627
733	0.325335717
734	0.3252799891
735	0.3252527322
736	0.3251660082
737	0.3250083617
738	0.3249392646
739	0.3249053182
740	0.3248411691
741	0.3247071004
742	0.3245643691
743	0.3244756552
744	0.3243113431
745	0.3242218235
746	0.3241793555
747	0.3241189334
748	0.3240646365
749	0.3239951485
750	0.3239589737
751	0.323869499
752	0.3237894558
753	0.3237599419
754	0.3237277535
755	0.3236524077
756	0.3235102214
757	0.3233835964
758	0.3232966356
759	0.3231903896
760	0.3231410612
761	0.3231024749
762	0.3230538811
763	0.3230036874
764	0.3229679656
765	0.3228735468
766	0.3228090733
767	0.3226884595
768	0.3225742671
769	0.3225098599
770	0.3224272238
771	0.3223476261
772	0.3222357785
773	0.3220837713
774	0.3219875556
775	0.3218998902
776	0.3218347629
777	0.3217740858
778	0.3216907025
779	0.3216190054
780	0.3215500819
781	0.3214694801
782	0.3213656581
783	0.3212690449
784	0.3211642302
785	0.3210572668
786	0.3209674904
787	0.3208458759
788	0.3207574171
789	0.3206567457
790	0.3205336079
791	0.3204176751
792	0.320292438
793	0.320171976
794	0.3200374343
795	0.3199526033
796	0.319887087
797	0.3198204202
798	0.3197662319
799	0.3197238831
800	0.3196710391
801	0.3195698238
802	0.3194336067
803	0.3193692404
804	0.319283684
805	0.3192128482
806	0.3190840912
807	0.3190350229
808	0.3189253671
809	0.318883592
810	0.3188127585
811	0.3187337467
812	0.3185441428
813	0.3184367102
814	0.3183380204
815	0.3182365463
816	0.3181705101
817	0.3180555783
818	0.3180151702
819	0.3179199446
820	0.317781274
821	0.3177074514
822	0.3175933657
823	0.3175211698
824	0.3174735121
825	0.3173765085
826	0.3172361355
827	0.3171271716
828	0.3170681235
829	0.3170384539
830	0.3169878026
831	0.3168515167
832	0.3168051843
833	0.3167144953
834	0.3166201895
835	0.3165447555
836	0.3164271773
837	0.3163075565
838	0.3162089521
839	0.3161254005
840	0.3159144629
841	0.3158168092
842	0.3157882681
843	0.3157528515
844	0.3156609243
845	0.3155804543
846	0.31537887
847	0.3152887971
848	0.3152130863
849	0.315162457
850	0.3149696618
851	0.3149142364
852	0.3148538415
853	0.3147903649
854	0.314653018
855	0.3146193986
856	0.3144788169
857	0.3144025651
858	0.3143027602
859	0.3142109202
860	0.3141648709
861	0.3140997329
862	0.313933241
863	0.3138581569
864	0.3137878445
865	0.3137147488
866	0.3136770767
867	0.3135353801
868	0.3134721597
869	0.3134076425
870	0.3132906735
871	0.3131158036
872	0.3130041135
873	0.3128906125
874	0.3127865952
875	0.3126854746
876	0.3125720402
877	0.3124551498
878	0.3123844521
879	0.3122949977
880	0.3122246201
881	0.3121178926
882	0.3120537866
883	0.311984798
884	0.3119344917
885	0.3118179782
886	0.3117261404
887	0.3116021616
888	0.3115758342
889	0.3115417169
890	0.3114893406
891	0.3113439847
892	0.311318331
893	0.311172845
894	0.3110409862
895	0.310926404
896	0.3108711959
897	0.3108138605
898	0.3107181983
899	0.3106346343
900	0.3104917104
901	0.3103834178
902	0.3102592339
903	0.3101391808
904	0.310077093
905	0.3099713272
906	0.3098834174
907	0.3097638115
908	0.3096809555
909	0.3096126239
910	0.3095282731
911	0.3094531565
912	0.3093250534
913	0.3092367722
914	0.3091356514
915	0.3090017553
916	0.3088900365
917	0.3088247575
918	0.3088002322
919	0.3087516211
920	0.3086433336
921	0.308584739
922	0.3084974596
923	0.3084636489
924	0.3083584653
925	0.3082420817
926	0.3081059305
927	0.3079856042
928	0.3078422695
929	0.3077736928
930	0.3077074592
931	0.3076295551
932	0.3075707023
933	0.3074837665
934	0.3074142325
